STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2023,,66.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2024,,66.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2015,,61.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2016,,61.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2017,,61.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2018,,61.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2019,,61.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2020,,62.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2021,,63.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2022,,61.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2023,,59.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2024,,59.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2015,,62.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,M,Males,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2016,,62.7,,,,,
