country,sex,year,jobs,demand,demand_lo,demand_hi
CH,F,2032,2255160.1125811357,99227044.95357002,93640814.60251945,104932644.76640216
CH,F,2033,2260365.697405359,99456090.68583581,93346416.62312123,105625869.18443125
CH,M,2025,2483583.079070742,109277655.47911263,108410261.39091991,110100018.5209903
CH,M,2026,2479662.1461120117,109105134.42892842,107398549.91142324,110830230.90980975
CH,M,2027,2478622.8251325353,109059404.3058313,106512363.16223241,111594335.37162617
CH,M,2028,2476395.1350995763,108961385.94438149,106126303.57683004,112000259.4421854
CH,M,2029,2471039.199613035,108725724.78297333,105195022.13233988,112430470.64432652
CH,M,2030,2466532.2104855445,108527417.26136382,104454196.6608403,112833360.4989221
CH,M,2031,2464808.648186991,108451580.52022761,103660751.68800585,113291731.04406895
CH,M,2032,2455583.683913065,108045682.092175,102324237.37444459,113328403.4616789
CH,M,2033,2458316.745666033,108165936.80930565,102435895.8206929,114161798.99650285
