country,sex,year,employed_ths,hly_65,hly_birth,le_15_alt,le_65,le_birth,pop_total,unemp_rate,working_life_yrs,pop_15_64,pop_65p,coicop_education,coicop_hotels_rest,coicop_recreation,gov_health_exp,gov_social_exp,nace_q_va,vacancy_count,vacancy_rate,covid,statutory_retirement_age,required_service_years,healthy_share,potential_workers,span_ceiling,supply_ceiling,supply_realized,realization_ratio,vacancies_sex,jobs,demand,balance_ceiling,balance_realized
CH,M,2014,2300.0,10.4,60.6,66.4,19.6,81.1,4022091.0,4.7,44.3,2772917.0,626452.0,3059.4,27870.4,23951.0,11474.7,71721.3,42664.2,58579.25,1.2,0,64.5,44.0,0.747225647348952,2071994.700369914,49.5,102563737.66831075,91789365.22638719,0.8949494949494949,31283.61544534225,2331283.6154453424,102576479.07959506,-12741.411284312606,-10787113.853207871
CH,M,2015,2329.1,10.3,61.1,66.2,19.4,80.8,4073880.0,4.7,44.4,2800864.0,643701.0,3064.9,27547.3,24349.9,13296.5,82609.1,43622.4,52878.25,1.075,0,64.5,44.0,0.7561881188118812,2117980.079207921,49.5,104840013.92079209,94038315.51683168,0.896969696969697,28178.262538037383,2357278.2625380373,103720243.55167364,1119770.369118452,-9681928.034841955
CH,M,2016,2348.5,10.1,61.0,66.9,20.0,81.7,4121471.0,4.9,44.8,2826597.0,659626.0,3115.6,27676.9,23393.4,13415.7,82928.1,45877.7,53691.75,1.1,0,64.5,44.0,0.7466340269277846,2110433.500611995,49.5,104466458.28029375,94547420.82741736,0.905050505050505,28508.302971897534,2377008.3029718976,104588365.33076349,-121907.05046974123,-10040944.50334613
CH,M,2017,2375.7,10.9,61.8,66.8,20.0,81.6,4173437.0,4.6,44.9,2854186.0,674610.0,3175.8,28324.8,23291.2,13003.5,81896.4,47711.5,60172.5,1.2,0,64.5,44.0,0.7573529411764706,2161626.161764706,49.5,107000495.00735295,97057014.66323529,0.907070707070707,32092.27017106681,2407792.2701710667,105942859.88752693,1057635.1198260188,-8885845.224291638
CH,M,2018,2390.0,10.6,61.5,67.0,20.2,81.9,4206434.0,4.4,44.9,2865687.0,688986.0,3313.9,28824.3,22398.7,13042.7,79660.8,49158.9,74014.5,1.45,0,64.5,44.0,0.7509157509157509,2151889.5054945056,49.5,106518530.52197804,96619838.7967033,0.907070707070707,39402.73867331938,2429402.7386733196,106893720.50162606,-375189.97964802384,-10273881.704922765
CH,M,2019,2402.1,11.2,61.0,67.3,20.3,82.1,4237121.0,4.1,44.7,2874816.0,703051.0,3442.9,29246.9,22163.8,14085.6,83812.9,50716.4,83383.5,1.625,0,64.5,44.0,0.7429963459196103,2135977.78319123,49.5,105730900.2679659,95478206.908648,0.9030303030303031,44235.85002981515,2446335.850029815,107638777.40131186,-1907877.1333459616,-12160570.49266386
CH,M,2020,2395.1,10.7,62.2,66.4,19.3,81.0,4268863.0,4.7,44.6,2885703.0,718004.0,3386.4,20875.8,19375.0,16800.5,106769.0,49929.2,66870.0,1.3,1,64.5,44.0,0.7679012345679013,2215934.8962962963,49.5,109688777.36666666,98830696.37481482,0.901010101010101,35446.250221317285,2430546.250221317,106944035.00973795,2744742.356928706,-8113338.63492313
CH,M,2021,2393.8,11.6,63.2,67.0,20.1,81.8,4302599.0,4.9,44.4,2900897.0,730463.0,3427.3,19400.0,19335.3,19011.2,98166.5,53279.6,90731.0,1.7,1,64.5,44.0,0.7726161369193154,2241279.8337408314,49.5,110943351.77017115,99512824.61809291,0.896969696969697,48007.75133175659,2441807.751331757,107439541.0585973,3503810.711573854,-7926716.440504387
CH,M,2022,2426.5,11.1,61.4,67.0,20.0,81.8,4338203.0,3.9,44.4,2913320.0,747146.0,3438.7,28514.9,21594.1,18199.3,99767.8,55796.8,123358.0,2.225,0,64.5,44.0,0.7506112469437652,2186770.75794621,49.5,108245152.5183374,97092621.65281172,0.896969696969697,65388.336282412565,2491888.3362824125,109643086.79642615,-1397934.2780887485,-12550465.143614426
CH,M,2023,2462.6,10.9,59.6,67.6,20.5,82.4,4379953.0,3.9,44.8,2935406.0,763042.0,,,,18606.2,107410.1,57173.7,118352.25,2.125,0,64.5,44.0,0.7233009708737864,2123182.009708738,49.5,105097509.48058254,95118554.03495145,0.905050505050505,62697.210095512615,2525297.2100955127,111113077.24420255,-6015567.763620019,-15994523.209251106
CH,M,2024,2463.2,11.3,59.4,67.8,20.4,82.4,4451532.0,4.2,44.5,2979765.0,781987.0,,,,19623.3,114099.4,60467.5,101202.0,1.825,0,64.5,44.0,0.7208737864077669,2148034.4781553396,49.5,106327706.66868931,95587534.27791262,0.898989898989899,53389.46829153369,2516589.4682915336,110729936.60482748,-4402229.936138168,-15142402.326914862
