country,sex,year,pop_total,le_birth,hly_birth,poor_pp,poor_py
FR,M,2021,32782095.0,79.3,65.5,13.799999999999997,452392910.9999999
FR,M,2022,32982626.0,79.3,63.7,15.599999999999994,514528965.5999998
FR,M,2023,33088401.0,80.1,63.5,16.599999999999994,549267456.5999998
FR,M,2024,33309192.0,80.2,63.5,16.700000000000003,556263506.4000001
NO,F,2004,2308408.0,82.5,65.3,17.200000000000003,39704617.60000001
NO,F,2005,2322293.0,82.7,64.2,18.5,42962420.5
NO,F,2006,2338238.0,82.9,63.4,19.500000000000007,45595641.000000015
NO,F,2007,2355346.0,82.9,66.1,16.80000000000001,39569812.80000003
NO,F,2008,2377481.0,83.2,69.0,14.200000000000003,33760230.20000001
NO,F,2009,2404199.0,83.2,67.8,15.400000000000006,37024664.60000002
NO,F,2010,2431447.0,83.3,69.8,13.5,32824534.5
NO,F,2011,2459456.0,83.6,76.1,7.5,18445920.0
NO,F,2012,2486999.0,83.5,70.4,13.099999999999994,32579686.899999987
NO,F,2013,2515367.0,83.8,68.6,15.200000000000003,38233578.400000006
NO,F,2014,2541622.0,84.2,69.8,14.400000000000006,36599356.80000001
NO,F,2015,2566978.0,84.2,68.9,15.299999999999997,39274763.39999999
NO,F,2016,2588874.0,84.2,67.8,16.400000000000006,42457533.60000002
NO,F,2017,2609187.0,84.3,70.0,14.299999999999997,37311374.099999994
NO,F,2018,2627248.0,84.5,69.1,15.400000000000006,40459619.20000002
NO,F,2019,2643139.0,84.7,68.1,16.60000000000001,43876107.40000002
NO,F,2020,2661018.0,84.9,66.7,18.200000000000003,48430527.60000001
NO,F,2021,2672110.0,84.7,65.75,18.950000000000003,50636484.50000001
NO,F,2022,2687938.0,84.2,64.8,19.400000000000006,52145997.20000002
NO,F,2023,2723514.0,84.6,62.9,21.699999999999996,59100253.79999999
NO,F,2024,2754485.0,84.8,62.3,22.5,61975912.5
NO,M,2004,2269049.0,77.6,65.9,11.699999999999989,26547873.299999975
NO,M,2005,2284070.0,77.8,66.1,11.700000000000003,26723619.000000007
NO,M,2006,2301981.0,78.2,65.8,12.400000000000006,28544564.400000013
NO,M,2007,2325788.0,78.3,66.6,11.700000000000003,27211719.600000005
NO,M,2008,2359690.0,78.4,70.0,8.400000000000006,19821396.000000015
NO,M,2009,2395053.0,78.7,69.0,9.700000000000003,23232014.100000005
NO,M,2010,2426752.0,79.0,69.8,9.200000000000003,22326118.400000006
NO,M,2011,2460849.0,79.1,74.0,5.099999999999994,12550329.899999985
NO,M,2012,2498871.0,79.5,71.9,7.599999999999994,18991419.599999987
NO,M,2013,2535908.0,79.8,71.0,8.799999999999997,22315990.39999999
NO,M,2014,2567434.0,80.1,72.2,7.8999999999999915,20282728.59999998
NO,M,2015,2598824.0,80.5,71.8,8.700000000000003,22609768.80000001
NO,M,2016,2625111.0,80.7,72.0,8.700000000000003,22838465.700000007
NO,M,2017,2649130.0,81.0,71.8,9.200000000000003,24371996.000000007
NO,M,2018,2668371.0,81.1,71.7,9.399999999999991,25082687.399999976
NO,M,2019,2685073.0,81.3,71.2,10.099999999999994,27119237.299999986
NO,M,2020,2706562.0,81.6,70.5,11.099999999999994,30042838.199999984
NO,M,2021,2719259.0,81.7,70.15,11.549999999999997,31407441.44999999
NO,M,2022,2737332.0,80.9,69.8,11.100000000000009,30384385.20000002
NO,M,2023,2765470.0,81.5,66.9,14.599999999999994,40375861.999999985
NO,M,2024,2795718.0,81.6,67.0,14.599999999999994,40817482.79999998
PL,F,2005,19703582.0,79.3,66.9,12.399999999999991,244324416.79999983
PL,F,2006,19703200.0,79.7,62.9,16.800000000000004,331013760.00000006
PL,F,2007,19698704.0,79.8,61.5,18.299999999999997,360486283.1999999
PL,F,2008,19704140.0,80.0,63.0,17.0,334970380.0
PL,F,2009,19720950.0,80.1,62.5,17.599999999999994,347088719.9999999
PL,F,2010,19610632.0,80.7,62.3,18.400000000000006,360835628.80000013
PL,F,2011,19633018.0,81.1,63.2,17.89999999999999,351431022.1999998
PL,F,2012,19636496.0,81.1,62.8,18.299999999999997,359347876.79999995
PL,F,2013,19636442.0,81.2,62.7,18.5,363274177.0
PL,F,2014,19613892.0,81.7,62.7,19.0,372663948.0
PL,F,2015,19608451.0,81.6,63.2,18.39999999999999,360795498.39999986
PL,F,2016,19590169.0,82.0,64.6,17.400000000000006,340868940.6000001
PL,F,2017,19595127.0,81.8,63.5,18.299999999999997,358590824.09999996
PL,F,2018,19596388.0,81.7,64.3,17.400000000000006,340977151.2000001
PL,F,2019,19592436.0,81.9,64.1,17.80000000000001,348745360.80000025
PL,F,2020,19584757.0,80.7,64.3,16.400000000000006,321190014.80000013
