country,sex,year,pop_total,hly_birth,employed_ths,vacancies_sex,jobs,required_service_years,supply_py,demand_py,balance_py,supply_per_demand
CH,F,2023,4435432.0,55.4,2186.0,55655.03990448736,2241655.0399044873,44.0,245722932.79999998,98632821.75579745,147090111.04420254,2.491289698761527
CH,F,2024,4510726.0,56.5,2205.9,47812.5317084663,2253712.5317084664,44.0,254856019.0,99163351.39517252,155692667.60482746,2.5700625827417016
CH,M,2011,3877426.0,66.3,2252.7,31934.772726182477,2284634.7727261824,44.0,257073343.79999998,100523929.99995202,156549413.80004796,2.5573347938159867
CH,M,2012,3922253.0,68.6,2269.6,29405.895783404118,2299005.895783404,44.0,269066555.79999995,101156259.41446978,167910296.38553017,2.6599100970860103
CH,M,2013,3968524.0,61.5,2279.8,30631.08738047011,2310431.0873804702,44.0,244064226.0,101658967.84474069,142405258.1552593,2.4008135354349522
CH,M,2014,4022091.0,60.6,2300.0,31283.61544534225,2331283.6154453424,44.0,243738714.6,102576479.07959506,141162235.52040493,2.3761657329929307
CH,M,2015,4073880.0,61.1,2329.1,28178.262538037383,2357278.2625380373,44.0,248914068.0,103720243.55167364,145193824.44832635,2.399860041554863
CH,M,2016,4121471.0,61.0,2348.5,28508.302971897534,2377008.3029718976,44.0,251409731.0,104588365.33076349,146821365.6692365,2.40380208835763
CH,M,2017,4173437.0,61.8,2375.7,32092.27017106681,2407792.2701710667,44.0,257918406.6,105942859.88752693,151975546.71247306,2.434504853595761
CH,M,2018,4206434.0,61.5,2390.0,39402.73867331938,2429402.7386733196,44.0,258695691.0,106893720.50162606,151801970.49837393,2.4201205626112037
CH,M,2019,4237121.0,61.0,2402.1,44235.85002981514,2446335.850029815,44.0,258464381.0,107638777.40131186,150825603.59868813,2.401219962173687
CH,M,2020,4268863.0,62.2,2395.1,35446.250221317285,2430546.250221317,44.0,265523278.60000002,106944035.00973795,158579243.59026206,2.482824578068542
CH,M,2021,4302599.0,63.2,2393.8,48007.75133175659,2441807.751331757,44.0,271924256.8,107439541.0585973,164484715.74140272,2.5309513994637514
CH,M,2022,4338203.0,61.4,2426.5,65388.336282412565,2491888.3362824125,44.0,266365664.2,109643086.79642615,156722577.40357384,2.429388591499252
CH,M,2023,4379953.0,59.6,2462.6,62697.210095512615,2525297.2100955127,44.0,261045198.8,111113077.24420255,149932121.55579746,2.349365216717732
CH,M,2024,4451532.0,59.4,2463.2,53389.46829153369,2516589.4682915336,44.0,264421000.79999998,110729936.60482748,153691064.1951725,2.3879811450056594
CZ,F,2011,5339500.0,63.6,2063.5,15483.5638669391,2078983.5638669392,35.0,339592200.0,72764424.73534288,266827775.26465714,4.667008654780919
CZ,F,2012,5347235.0,64.1,2078.6,16800.284608028607,2095400.2846080286,35.0,342757763.49999994,73339009.961281,269418753.53871894,4.673607725015068
CZ,F,2013,5351776.0,64.2,2103.8,15622.969272993667,2119422.9692729935,35.0,343584019.2,74179803.92455477,269404215.2754452,4.631773084078858
CZ,F,2014,5350039.0,65.0,2119.9,22774.79493795307,2142674.794937953,35.0,347752535.0,74993617.82282835,272758917.17717165,4.63709506349676
CZ,F,2015,5361348.0,63.7,2159.1,40432.85918468679,2199532.859184687,35.0,341517867.6,76983650.07146405,264534217.52853596,4.4362389583108675
CZ,F,2016,5367513.0,64.0,2210.3,54704.47332482706,2265004.473324827,35.0,343520832.0,79275156.56636894,264245675.43363106,4.333272198742431
CZ,F,2017,5378133.0,62.4,2251.0,75096.341064803,2326096.341064803,35.0,335595499.2,81413371.9372681,254182127.2627319,4.1221176720034185
CZ,F,2018,5390264.0,63.4,2285.2,112912.02992092328,2398112.029920923,35.0,341742737.59999996,83933921.0472323,257808816.55276766,4.071568840536956
CZ,F,2019,5405606.0,62.6,2288.1,127716.49149679673,2415816.4914967967,35.0,338390935.6,84553577.20238788,253837358.39761215,4.0020889333874745
CZ,F,2020,5421943.0,62.5,2244.9,107515.92170083943,2352415.9217008394,35.0,338871437.5,82334557.25952938,256536880.24047062,4.115786235806583
CZ,F,2021,5323934.0,63.4,2236.5,100383.8021851128,2336883.8021851126,35.0,337537415.59999996,81790933.07647894,255746482.523521,4.126831702535833
CZ,F,2022,5332932.0,62.4,2223.5,94267.84109464922,2317767.8410946494,35.0,332774956.8,81121874.43831272,251653082.3616873,4.1021605960677245
CZ,F,2023,5519006.0,62.6,2145.0,71070.03941475983,2216070.0394147597,35.0,345489775.6,77562451.37951659,267927324.22048342,4.454343170634241
CZ,F,2024,5557945.0,63.2,2267.0,66819.01509859493,2333819.015098595,35.0,351262124.0,81683665.52845083,269578458.47154915,4.3002737662116015
CZ,M,2011,5147231.0,62.2,2732.8,20505.686133060903,2753305.686133061,35.0,320157768.2,96365699.01465714,223792069.18534285,3.322320820308731
CZ,M,2012,5158210.0,62.3,2731.7,22078.965391971396,2753778.965391971,35.0,321356483.0,96382263.788719,224974219.211281,3.334186917464922
CZ,M,2013,5164349.0,62.5,2742.1,20363.03072700634,2762463.0307270065,35.0,322771812.5,96686206.07544523,226085606.42455477,3.3383439644755306
CZ,M,2014,5162380.0,63.4,2763.5,29689.205062046934,2793189.205062047,35.0,327294892.0,97761622.17717165,229533269.82282835,3.347887286555549
CZ,M,2015,5176927.0,62.4,2775.2,51970.39081531322,2827170.3908153134,35.0,323040244.8,98950963.67853597,224089281.12146404,3.2646498102784274
CZ,M,2016,5186330.0,62.7,2805.6,69438.02667517295,2875038.026675173,35.0,325182891.0,100626330.93363106,224556560.06636894,3.231588471753751
CZ,M,2017,5200687.0,60.6,2842.9,94842.908935197,2937742.908935197,35.0,315161632.2,102821001.8127319,212340630.38726807,3.0651484292479907
CZ,M,2018,5219791.0,62.2,2861.7,141396.97007907674,3003096.970079077,35.0,324671000.2,105108393.9527677,219562606.2472323,3.088916003662815
CZ,M,2019,5244194.0,61.7,2862.9,159800.50850320325,3022700.5085032033,35.0,323566769.8,105794517.79761212,217772252.00238788,3.058445527574428
CZ,M,2020,5271996.0,60.9,2842.0,136113.07829916058,2978113.0782991606,35.0,321064556.4,104233957.74047062,216830598.65952936,3.0802299304360115
CZ,M,2021,5170902.0,60.7,2829.6,127004.69781488719,2956604.6978148874,35.0,313873751.40000004,103481164.42352106,210392586.976479,3.0331486232160834
CZ,M,2022,5183775.0,61.2,2798.2,118632.90890535078,2916832.9089053506,35.0,317247030.0,102089151.81168728,215157878.1883127,3.107548886146013
CZ,M,2023,5308523.0,61.5,2745.3,90959.71058524017,2836259.7105852403,35.0,326474164.5,99269089.87048341,227205074.6295166,3.2887796687362756
CZ,M,2024,5342610.0,61.7,2743.4,80860.73490140509,2824260.734901405,35.0,329639037.0,98849125.72154917,230789911.27845085,3.3347693729590415
DE,F,2011,41097465.0,58.6,17707.9,395539.337723483,18103439.337723482,45.0,2408311449.0,814654770.1975567,1593656678.8024433,2.956235619188697
